Index,year_film,category,name,film,winner
72,2019,MUSIC (ORIGINAL SONG),Music and Lyric by Diane Warren,Breakthrough,False
73,2019,MUSIC (ORIGINAL SONG),Music and Lyric by Kristen Anderson-Lopez and Robert Lopez,Frozen II,False
74,2019,MUSIC (ORIGINAL SONG),Music and Lyric by Joshuah Brian Campbell and Cynthia Erivo,Harriet,False
75,2019,BEST PICTURE,"Peter Chernin, Jenno Topping and James Mangold, Producers",Ford v Ferrari,False
76,2019,BEST PICTURE,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",The Irishman,False
77,2019,BEST PICTURE,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",Jojo Rabbit,False
78,2019,BEST PICTURE,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",Joker,False
79,2019,BEST PICTURE,"Amy Pascal, Producer",Little Women,False
80,2019,BEST PICTURE,"Noah Baumbach and David Heyman, Producers",Marriage Story,False
81,2019,BEST PICTURE,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",1917,False
82,2019,BEST PICTURE,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",Once upon a Time...in Hollywood,False
83,2019,BEST PICTURE,"Kwak Sin Ae and Bong Joon Ho, Producers",Parasite,True
84,2019,PRODUCTION DESIGN,Production Design: Bob Shaw; Set Decoration: Regina Graves,The Irishman,False
85,2019,PRODUCTION DESIGN,Production Design: Ra Vincent; Set Decoration: Nora Sopková,Jojo Rabbit,False
86,2019,PRODUCTION DESIGN,Production Design: Dennis Gassner; Set Decoration: Lee Sandales,1917,False
87,2019,PRODUCTION DESIGN,Production Design: Barbara Ling; Set Decoration: Nancy Haigh,Once upon a Time...in Hollywood,True
88,2019,PRODUCTION DESIGN,Production Design: Lee Ha Jun; Set Decoration: Cho Won Woo,Parasite,False
89,2019,SHORT FILM (ANIMATED),Daria Kashcheeva,Dcera (Daughter),False
90,2019,SHORT FILM (ANIMATED),Matthew A. Cherry and Karen Rupert Toliver,Hair Love,True
91,2019,SHORT FILM (ANIMATED),Rosana Sullivan and Kathryn Hendrickson,Kitbull,False
92,2019,SHORT FILM (ANIMATED),Bruno Collet and Jean-François Le Corre,Memorable,False
93,2019,SHORT FILM (ANIMATED),Siqi Song,Sister,False
94,2019,SHORT FILM (LIVE ACTION),Meryam Joobeur and Maria Gracia Turgeon,Brotherhood,False
95,2019,SHORT FILM (LIVE ACTION),Yves Piat and Damien Megherbi,Nefta Football Club,False
96,2019,SHORT FILM (LIVE ACTION),Marshall Curry,The Neighbors' Window,True
97,2019,SHORT FILM (LIVE ACTION),Bryan Buckley and Matt Lefebvre,Saria,False
98,2019,SHORT FILM (LIVE ACTION),Delphine Girard,A Sister,False
99,2019,SOUND EDITING,Donald Sylvester,Ford v Ferrari,True
100,2019,SOUND EDITING,Alan Robert Murray,Joker,False
101,2019,SOUND EDITING,Oliver Tarney and Rachael Tate,1917,False
102,2019,SOUND EDITING,Wylie Stateman,Once upon a Time...in Hollywood,False
103,2019,SOUND EDITING,Matthew Wood and David Acord,Star Wars: The Rise of Skywalker,False
104,2019,SOUND MIXING,"Gary Rydstrom, Tom Johnson and Mark Ulano",Ad Astra,False
105,2019,SOUND MIXING,"Paul Massey, David Giammarco and Steven A. Morrow",Ford v Ferrari,False
106,2019,SOUND MIXING,"Tom Ozanich, Dean Zupancic and Tod Maitland",Joker,False
107,2019,SOUND MIXING,Mark Taylor and Stuart Wilson,1917,True
108,2019,SOUND MIXING,"Michael Minkler, Christian P. Minkler and Mark Ulano",Once upon a Time...in Hollywood,False
109,2019,VISUAL EFFECTS,"Dan DeLeeuw, Russell Earl, Matt Aitken and Dan Sudick",Avengers: Endgame,False
110,2019,VISUAL EFFECTS,"Pablo Helman, Leandro Estebecorena, Nelson Sepulveda-Fauser and Stephane Grabli",The Irishman,False
111,2019,VISUAL EFFECTS,"Robert Legato, Adam Valdez, Andrew R. Jones and Elliot Newman",The Lion King,False
112,2019,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",1917,True
113,2019,VISUAL EFFECTS,"Roger Guyett, Neal Scanlan, Patrick Tubach and Dominic Tuohy",Star Wars: The Rise of Skywalker,False
114,2019,WRITING (ADAPTED SCREENPLAY),Screenplay by Steven Zaillian,The Irishman,False
115,2019,WRITING (ADAPTED SCREENPLAY),Screenplay by Taika Waititi,Jojo Rabbit,True
116,2019,WRITING (ADAPTED SCREENPLAY),Written by Todd Phillips & Scott Silver,Joker,False
117,2019,WRITING (ADAPTED SCREENPLAY),Written for the screen by Greta Gerwig,Little Women,False
118,2019,WRITING (ADAPTED SCREENPLAY),Written by Anthony McCarten,The Two Popes,False
119,2019,WRITING (ORIGINAL SCREENPLAY),Written by Rian Johnson,Knives Out,False
120,2019,WRITING (ORIGINAL SCREENPLAY),Written by Noah Baumbach,Marriage Story,False
121,2019,WRITING (ORIGINAL SCREENPLAY),Written by Sam Mendes & Krysty Wilson-Cairns,1917,False
122,2019,WRITING (ORIGINAL SCREENPLAY),Written by Quentin Tarantino,Once upon a Time...in Hollywood,False
123,2019,WRITING (ORIGINAL SCREENPLAY),"Screenplay by Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho",Parasite,True
124,2020,ACTOR IN A LEADING ROLE,Anthony Hopkins,The Father,True
125,2020,ACTOR IN A LEADING ROLE,Riz Ahmed,Sound of Metal,False
126,2020,ACTOR IN A LEADING ROLE,Chadwick Boseman,Ma Rainey's Black Bottom,False
127,2020,ACTOR IN A LEADING ROLE,Gary Oldman,Mank,False
128,2020,ACTOR IN A LEADING ROLE,Steven Yeun,Minari,False
129,2020,ACTOR IN A SUPPORTING ROLE,Daniel Kaluuya,Judas and the Black Messiah,True
130,2020,ACTOR IN A SUPPORTING ROLE,Sacha Baron Cohen,The Trial of the Chicago 7,False
131,2020,ACTOR IN A SUPPORTING ROLE,"Leslie Odom, Jr.",One Night in Miami...,False
132,2020,ACTOR IN A SUPPORTING ROLE,Paul Raci,Sound of Metal,False
133,2020,ACTOR IN A SUPPORTING ROLE,Lakeith Stanfield,Judas and the Black Messiah,False
134,2020,ACTRESS IN A LEADING ROLE,Frances McDormand,Nomadland,True
135,2020,ACTRESS IN A LEADING ROLE,Viola Davis,Ma Rainey's Black Bottom,False
136,2020,ACTRESS IN A LEADING ROLE,Andra Day,The United States vs. Billie Holiday,False
137,2020,ACTRESS IN A LEADING ROLE,Vanessa Kirby,Pieces of a Woman,False
138,2020,ACTRESS IN A LEADING ROLE,Carey Mulligan,Promising Young Woman,False
139,2020,ACTRESS IN A SUPPORTING ROLE,Yuh-Jung Youn,Minari,True
140,2020,ACTRESS IN A SUPPORTING ROLE,Maria Bakalova,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,False
141,2020,ACTRESS IN A SUPPORTING ROLE,Glenn Close,Hillbilly Elegy,False
142,2020,ACTRESS IN A SUPPORTING ROLE,Olivia Colman,The Father,False
143,2020,ACTRESS IN A SUPPORTING ROLE,Amanda Seyfried,Mank,False
144,2020,ANIMATED FEATURE FILM,Pete Docter and Dana Murray,Soul,True
145,2020,ANIMATED FEATURE FILM,Dan Scanlon and Kori Rae,Onward,False
146,2020,ANIMATED FEATURE FILM,"Glen Keane, Gennie Rim and Peilin Chou",Over the Moon,False
