,rating,imdbid,year,id,title
116,1,0000574,1906,1349,"Story of the Kelly Gang, The"
117,0,0216016,1906,5024,"Mysterious Retort, The"
118,0,0000554,1906,5435,Humorous Phases of Funny Faces
119,0,0135122,1906,5603,"Hilarious Posters, The"
120,0,0000567,1906,5684,"400 Tricks of the Devil, The"
121,0,0449172,1906,6206,A Funny Shave
122,0,1260944,1906,7215,"Consequence of Feminism, The"
123,0,0215737,1907,5223,"Eclipse: Courtship of the Sun and Moon, The"
124,0,0215817,1907,5615,Good Glue Sticks
125,0,1802750,1908,6231,Unusual Cooking
126,2,0001009,1909,4409,"Princess Nicotine; or, The Smoke Fairy"
127,0,0127948,1909,5635,"Devilish Tenant, The"
128,1,0277596,1909,6211,Le barometre de la fidelite
129,3,0232821,1910,1464,Tilly the Tomboy Visits the Poor
130,0,0486978,1910,4983,Mobilier fidele
131,0,1515725,1910,5685,A Trip to Mars
132,2,0002101,1912,2003,Cleopatra
133,0,0002281,1912,2005,"Invaders, The"
134,0,0277865,1912,5357,Max and the Donkey
135,0,0003512,1913,5364,"Voyage of the Bourrichon Family, The"
136,0,0003424,1913,5915,Suspense
137,2,0003973,1914,4457,A Florida Enchantment
138,2,0004972,1915,1258,"Birth of a Nation, The"
139,3,0006745,1916,2008,Gretchen the Greenhorn
140,3,0279914,1916,2014,Lady Windermere&#39;s Fan
141,0,0007507,1916,5368,"Vagabond, The"
142,0,0006864,1916,5944,Intolerance: Love&#39;s Struggle Throughout the Ages
143,3,0007361,1916,7004,Snow White
144,3,0008652,1917,1981,A Tale of Two Cities
145,3,0008499,1917,1993,Rebecca of Sunnybrook Farm
146,3,0008443,1917,1994,"Poor Little Rich Girl, The"
147,0,0008519,1917,2015,A Romance of the Redwoods
148,2,0008489,1917,2019,"Raffles, the Amateur Cracksman"
149,3,0009682,1918,1996,Tarzan of the Apes
150,3,0009652,1918,2007,Stella Maris
151,0,0008844,1918,5441,Are Crooks Dishonest?
152,3,0010281,1918,7108,Ich mochte kein Mann sein
153,3,0010879,1919,2018,When the Clouds Roll by
154,0,0009968,1919,2588,Broken Blossoms or The Yellow Man and the Girl
155,0,0010323,1920,1306,"Cabinet of Dr. Caligari, The"
156,3,0011588,1920,1991,Pollyanna
157,3,0011870,1920,5948,Within Our Gates
158,3,0012532,1921,1263,Orphans of the Storm
159,0,0012349,1921,3945,"Kid, The"
160,3,0011979,1921,4204,"Blot, The"
161,2,0012364,1921,5898,K&ouml;rkarlen (The Phantom Carriage)
162,2,0013442,1922,1307,"Nosferatu, eine Symphonie des Grauens"
163,2,0013496,1922,1631,"Phantom, The"
164,2,0013428,1922,1778,Nathan der Weise
165,1,0013367,1922,2001,"Man from Beyond, The"
166,3,0013257,1922,3800,H&auml;xan: Witchcraft Through the Ages
167,0,0012543,1922,5361,"Paleface, The"
168,1,0013427,1922,5901,Nanook of the North
169,3,0013140,1922,5958,Foolish Wives
170,3,0013086,1922,5967,"Dr. Mabuse, der Spieler - Ein Bild der Zeit"
171,0,0014429,1923,1961,Safety Last!
172,0,0014611,1923,1967,Why Worry?
173,2,0014469,1923,1998,"Silent Command, The"
174,3,0013626,1923,5888,La souriante Madame Beudet
175,0,0014341,1923,5949,Our Hospitality
176,2,0014624,1923,8947,A Woman of Paris
177,2,0015175,1924,1337,Die Nibelungen
178,2,0015174,1924,1338,Kriemhild&#39;s Revenge
179,0,0015400,1924,1264,"Thief of Bagdad, The"
180,0,0015498,1924,1960,Wild Oranges
181,0,0015163,1924,2009,"Navigator, The"
182,0,0015324,1924,2011,Sherlock Jr.
183,0,0014945,1924,2016,Girl Shy
184,3,0015116,1924,2020,Manhandled
185,0,1764657,1924,2413,"Great White Silence, The"
186,0,0013845,1924,6209,Help!
187,3,0015881,1924,8458,Greed
188,2,0016220,1925,1305,"Phantom of the Opera, The"
189,0,0015648,1925,1308,Battleship Potemkin
190,0,0015864,1925,1309,"Gold Rush, The"
191,0,0015863,1925,1978,Go West
192,0,0015841,1925,2012,"Freshman, The"
193,0,0016332,1925,3077,Seven Chances
194,2,0016039,1925,5514,"Lost World, The"
195,2,0015624,1925,5962,"Big Parade, The"
196,0,0015361,1925,5991,Stachka
197,1,0017449,1926,1334,"Temptress, The"
198,1,0016884,1926,1260,Flesh and the Devil
199,0,0017925,1926,1310,"General, The"
200,0,0016895,1926,1966,For Heaven&#39;s Sake
201,3,0017410,1926,3217,So&#39;s Your Old Man
202,1,0015532,1926,5974,Die Abenteuer des Prinzen Achmed
203,3,0018033,1927,1227,It
204,1,0017136,1927,1267,Metropolis
205,2,0018192,1927,1312,Abel Gance&#39;s Napoleon
206,0,0018528,1927,1311,"Unknown, The"
207,2,0018455,1927,1632,Sunrise: A Song of Two Humans
208,0,0018051,1927,1964,"Kid Brother, The"
209,0,0018199,1927,1982,Nevada
210,3,0018183,1927,2010,My Best Girl
211,1,0018578,1927,3118,Wings
212,1,0018037,1927,5975,"Jazz Singer, The"
213,1,0017825,1927,7324,Downhill [When Boys Leave Home]
214,0,0019254,1928,1314,"Passion of Joan of Arc, The"
215,0,0019412,1928,1963,Speedy
216,0,0018773,1928,1968,"Circus, The"
217,0,0018742,1928,1970,"Cameraman, The"
218,0,0019421,1928,1971,"Steamboat Bill, Jr."
219,0,0019304,1928,1972,"Racket, The"
220,0,0018684,1928,1977,Beggars of Life
221,1,0019290,1928,1979,"Power of the Press, The"
222,0,0018937,1928,1980,A Girl in Every Port
223,3,0019258,1928,2013,"Patsy, The"
224,2,0019571,1928,2017,While the City Sleeps
225,2,0019130,1928,2021,"Man Who Laughs, The"
226,1,0018806,1928,5912,"Crowd, The"
227,2,0018839,1928,5984,"Docks of New York, The"
228,2,0019237,1928,9314,Our Dancing Daughters
229,0,0020530,1929,1313,Un chien andalou
230,2,0019777,1929,1953,"Cocoanuts, The"
231,0,0020572,1929,1962,Welcome Danger
232,3,0018737,1929,2324,Pandora&#39;s Box (Die B&uuml;chse der Pandora)
233,0,0019760,1929,3897,Man with a Movie Camera
234,2,0019702,1929,5979,Blackmail
235,0,0020286,1929,6046,Throw of the Dice
236,3,0021015,1929,7287,Juno and the Paycock [The Shame of Mary Boyle]
237,3,0019729,1929,8464,Broadway Melody
238,1,0020697,1930,1315,"Blue Angel, The"
239,0,0020629,1930,1316,All Quiet on the Western Front
240,3,0020641,1930,1326,Anna Christie
241,3,0021040,1930,3713,Ladies of Leisure
242,0,0021577,1930,3871,L&#39;Age d&#39;Or
243,1,0021156,1930,3865,Morocco
244,3,0021148,1930,3927,Min and Bill
245,2,0020670,1930,4253,Be Yourself
246,3,0020668,1930,6782,"Bat Whispers, The"
247,3,0021165,1930,7291,Murder!
248,3,0020640,1930,8463,Animal Crackers
249,3,0022100,1931,610,M
250,3,0022183,1931,628,M&auml;dchen in Uniform
251,3,0022208,1931,636,Night Nurse
252,1,0021884,1931,1317,Frankenstein
253,3,0020642,1931,1327,Anna Christie
254,3,0023196,1931,1333,Mata Hari
255,0,0022458,1931,1633,Tabu: A Story of the South Seas
256,3,0022000,1931,1828,Indiscreet
257,0,0022054,1931,1956,"Last Flight, The"
258,0,0022251,1931,1974,Pardon Us
259,2,0021814,1931,1985,Dracula
260,1,0022158,1931,2384,Monkey Business
261,3,0021749,1931,2705,City Lights
262,2,0022074,1931,4243,"Smiling Lieutenant, The"
263,3,0021735,1931,5741,"Cheat, The"
264,3,0022286,1931,5934,"Public Enemy, The"
265,3,0021739,1931,6030,La Chienne
266,1,0022599,1931,6031,A Nous la Liberte
267,1,0021079,1931,6043,Little Caesar
268,3,0022395,1931,7294,"Skin Game, The"
269,2,0023395,1931,7296,Rich and Strange [East of Shanghai]
270,3,0021815,1931,8213,Dracula
271,3,0021746,1931,8467,Cimarron
272,1,0021985,1931,8557,Hyppolit a lakaj
273,3,0022397,1931,9095,Skippy
274,1,0021730,1931,9110,"Champ, The"
275,1,0023042,1932,1318,I Am a Fugitive from a Chain Gang
276,3,0022958,1932,1328,Grand Hotel
277,2,0022614,1932,1983,"Age of Consent, The"
278,1,0023027,1932,2383,Horse Feathers
279,0,0023694,1932,2550,White Zombie
280,1,0022718,1932,2767,Boudu Saved from Drowning
281,1,0023634,1932,3530,"I Was Born, But..."
282,0,0023238,1932,3658,"Most Dangerous Game, The"
283,2,0022913,1932,3659,Freaks
284,1,0024188,1932,3844,Island of Lost Souls
285,3,0023293,1932,4775,"Old Dark House, The"
286,3,0023213,1932,5742,Merrily We Go to Hell
287,2,0022940,1932,5783,"Girl from Calgary, The"
288,3,0023649,1932,5910,Vampyr
289,3,0023458,1932,5929,Shanghai Express
290,3,0023590,1932,6051,Three on a Match
291,2,0023158,1932,6052,Love Me Tonight
292,1,0023427,1932,6063,Scarface
293,3,0023385,1932,6092,Red-Headed Woman
294,1,0023935,1932,6176,"Death Kiss, The"
295,3,0023582,1932,6852,Thirteen Women
296,1,0022694,1932,6990,"Blue Light (Das Blaue Licht), The"
297,0,0023285,1932,7301,Number 17
298,3,0024028,1933,802,Footlight Parade
299,3,0024481,1933,1330,Queen Christina
300,1,0024473,1933,1248,"Private Life of Henry VIII., The"
301,0,0024216,1933,2229,King Kong
302,3,0024264,1933,2231,Little Women
303,3,0023753,1933,3188,Alice in Wonderland
304,3,0024727,1933,3210,"Vampire Bat, The"
305,3,0024034,1933,4335,42nd Street
306,3,0023932,1933,5029,Day of Reckoning
307,1,0023969,1933,5185,Duck Soup
308,3,0024679,1933,5752,Tomorrow at Seven
309,3,0024069,1933,5916,Gold Diggers of 1933
310,3,0024008,1933,6056,Female
311,3,0024625,1933,6193,A Study in Scarlet
312,0,0024432,1933,6205,"Peanut Vendor, The"
313,1,0024184,1933,7450,"Invisible Man, The"
314,3,0023775,1933,7528,Baby Face
315,1,0023940,1933,8346,Design for Living
316,3,0023876,1933,8477,Cavalcade
317,3,0025316,1934,621,It Happened One Night
318,1,0024961,1934,1324,"Cat&#39;s-Paw, The"
319,3,0025746,1934,1325,"Scarlet Empress, The"
320,1,0025617,1934,1329,"Painted Veil, The"
321,1,0025004,1934,1246,"Count of Monte Cristo, The"
322,1,0024991,1934,1270,Cleopatra
323,1,0025586,1934,1379,Of Human Bondage
324,0,0024844,1934,1795,L&#39;atalante
325,0,0025423,1934,1969,"Lost Patrol, The"
326,3,0025822,1934,4443,Spitfire
327,3,0025465,1934,4702,Maniac
328,3,0024831,1934,5319,Anne of Green Gables
329,2,0025424,1934,5523,Lost in the Stratosphere
330,3,0025755,1934,5821,Search for Beauty
331,3,0025091,1934,6772,Evelyn Prentice
332,3,0025452,1934,7304,"Man Who Knew Too Much, The"
333,3,0025301,1934,7999,Imitation of Life
334,0,0025543,1934,8653,Mystery Liner
335,2,0027125,1935,595,Top Hat
336,3,0026029,1935,1242,"39 Steps, The"
337,2,0026071,1935,1261,Anna Karenina
338,1,0026752,1935,1361,Mutiny on the Bounty
339,3,0026768,1935,1685,Naughty Marietta
340,3,0026942,1935,2362,Roberta
341,3,0026667,1935,2756,Magnificent Obsession
342,1,0026778,1935,3881,A Night At The Opera
343,3,0026138,1935,3891,"Bride of Frankenstein, The"
344,2,0026599,1935,5750,"Lady in Scarlet, The"
345,2,0026939,1935,5913,"Riverside Murder, The"
346,2,0026663,1935,7998,Mad Love
347,1,0028333,1936,596,Swing Time
348,0,0027977,1936,1323,Modern Times
349,1,0027438,1936,1237,"Charge of the Light Brigade, The"
350,1,0028216,1936,1359,San Francisco
351,2,0028505,1936,1360,Wife vs. Secretary
352,3,0028096,1936,1369,"Petrified Forest, The"
353,3,0027996,1936,1992,Mr. Deeds Goes to Town
354,3,0027387,1936,2363,Born to Dance
355,0,0028174,1936,2554,Revolt of the Zombies
356,1,0027562,1936,2699,Earthworm Tractors
357,3,0028021,1936,2853,Osaka Elegy
358,3,0028355,1936,3280,Theodora Goes Wild
359,3,0027698,1936,3401,"Great Ziegfeld, The"
360,3,0029207,1936,3548,"Mandarin Mystery, The"
361,3,0027752,1936,3560,"Only Son, The"
362,3,0028683,1936,3598,Camille
363,3,0028092,1936,4010,Pennies from Heaven
364,3,0028203,1936,4069,Romeo and Juliet
365,3,0027407,1936,4143,Bullets or Ballots
366,2,0028010,1936,5852,My Man Godfrey
367,3,0028212,1936,5926,Sabotage
368,2,0027652,1936,6096,Fury
369,3,0028000,1936,6174,Murder at Glen Athol
370,0,3427056,1936,6210,Il caso Valdemar
371,2,0028356,1936,7227,These Three
372,3,0028231,1936,7308,Secret Agent
373,3,0027545,1936,7992,Dracula&#39;s Daughter
374,1,0029546,1937,597,Shall We Dance
375,3,0029604,1937,631,Stage Door
376,3,0029608,1937,795,Stella Dallas
377,2,0028739,1937,1332,Conquest
378,2,0029682,1937,1335,Topper
379,2,0029162,1937,1336,Lost Horizon
380,1,0029442,1937,1240,"Prisoner of Zenda, The"
381,2,0029087,1937,1244,Knight Without Armor
382,2,0029377,1937,1358,Parnell
383,3,0029583,1937,1976,Snow White and the Seven Dwarfs
384,2,0028772,1937,2382,A Day at the Races
385,0,0029322,1937,3968,Nothing Sacred
386,3,0029192,1937,4255,Make Way for Tomorrow
387,1,0029565,1937,5617,Murder at the Baskervilles (Silver Blaze)
388,2,0029453,1937,5740,Pepe le Moko
389,3,0028597,1937,6554,"Awful Truth, The"
390,3,0029811,1937,7317,"Girl Was Young, The"
391,3,0029217,1937,7877,Marked Woman
392,3,0027552,1937,8473,"Bizarre, Bizarre"
393,1,0029146,1937,8478,"Life of Emile Zola, The"
394,2,0029971,1938,594,Carefree
395,3,0030341,1938,620,"Lady Vanishes, The"
396,3,0030241,1938,994,Holiday
397,0,0030044,1938,1238,"Dawn Patrol, The"
398,2,0030287,1938,1367,Jezebel
399,2,0030755,1938,1378,"Sisters, The"
400,0,0029942,1938,2467,Boys Town
401,1,0030473,1938,2590,"Mr. Wong, Detective"
402,2,0029843,1938,3103,"Adventures of Robin Hood, The"
403,2,0029929,1938,3283,Bluebeard&#39;s Eighth Wife
404,3,0029947,1938,3400,Bringing Up Baby
405,3,0030149,1938,3951,Four Daughters
406,3,0030396,1938,4495,"Mad Miss Manton, The"
407,1,0030127,1938,6042,"Baker&#39;s Wife, The"
408,1,0029870,1938,7290,Angels with Dirty Faces
409,3,0032138,1939,174,"Wizard of Oz, The"
410,3,0031381,1939,291,Gone with the Wind
411,2,0031235,1939,383,Dodge City
412,3,0032143,1939,588,"Women, The"
413,3,0031971,1939,593,Stagecoach
414,2,0032145,1939,1239,Wuthering Heights
415,2,0031385,1939,1245,"Goodbye, Mr. Chips"
416,3,0031725,1939,1259,Ninotchka
417,2,0031516,1939,1368,Juarez
418,3,0031210,1939,1370,Dark Victory
419,2,0031826,1939,1371,Essex and Elizabeth
420,2,0032155,1939,1382,Young Mr. Lincoln
421,2,0031507,1939,1383,Jesse James
422,2,0031252,1939,1384,Drums Along the Mohawk
423,2,0031981,1939,1385,"Story of Alexander Graham Bell, The"
424,0,0031322,1939,1973,"Flying Deuces, The"
425,0,0031455,1939,2086,"Hunchback of Notre Dame, The"
426,2,0031060,1939,2372,At the Circus
427,3,0031387,1939,2555,"Gorilla, The"
428,1,0031680,1939,2622,Mr. Wong in Chinatown
429,1,0031742,1939,2851,Of Mice and Men
430,3,0031885,1939,3089,"Rules of the Game, The"
431,3,0031066,1939,3723,Babes in Arms
432,3,0031225,1939,5634,Destry Rides Again
433,3,0031709,1939,5763,Nancy Drew... Reporter
434,3,0031022,1939,5863,"Adventures of Sherlock Holmes, The"
435,2,0031679,1939,5946,Mr. Smith Goes to Washington
436,3,0031505,1939,7322,Jamaica Inn
437,2,0031514,1939,8098,Le jour se l&egrave;ve
438,0,0031397,1939,8511,Gulliver&#39;s Travels
439,3,0031593,1939,9038,Love Affair
440,1,0032910,1940,478,Pinocchio
441,3,0032976,1940,618,Rebecca
442,0,0033152,1940,1265,"Thief of Bagdad, The"
443,3,0032811,1940,1501,"Mortal Storm, The"
444,2,0032349,1940,1355,Comrade X
445,1,0032273,1940,1356,Boom Town
446,0,0033105,1940,1357,Strange Cargo
447,0,0032983,1940,1366,"Return of Frank James, The"
448,2,0032194,1940,1373,"All This, and Heaven Too"
449,2,0032701,1940,1380,"Letter, The"
450,3,0032551,1940,1387,"Grapes of Wrath, The"
451,0,0032339,1940,1975,A Chump at Oxford
452,3,0032215,1940,2556,"Ape, The"
453,1,0033021,1940,2678,Santa Fe Trail
454,3,0032599,1940,3033,His Girl Friday
455,3,0033028,1940,3050,"Sea Hawk, The"
456,3,0032553,1940,3470,"Great Dictator, The"
457,3,0032943,1940,4257,Pride and Prejudice
458,3,0032946,1940,4354,Primrose Path
459,2,0032406,1940,4363,Chamber of Horrors / Door with the Seven Locks
460,3,0032376,1940,4415,"Dance, Girl, Dance"
461,3,0032904,1940,4943,"Philadelphia Story, The"
462,0,0032455,1940,5039,Fantasia
463,3,0032211,1940,5320,Anne Of Windy Poplars
464,3,0031359,1940,5773,Gaslight
465,3,0032690,1940,5802,"Last Alarm, The"
466,1,0032484,1940,7311,Foreign Correspondent
467,3,0033045,1940,7861,"Shop Around the Corner, The"
468,1,0032676,1940,8480,Knute Rockne All American
469,2,0034328,1941,1331,Two-Faced Woman
470,3,0034175,1941,1512,"Shanghai Gesture, The"
471,1,0033870,1941,1230,"Maltese Falcon, The"
472,1,0033467,1941,1266,Citizen Kane
473,2,0033563,1941,1117,Dumbo
474,2,0033836,1941,1372,"Little Foxes, The"
475,2,0033804,1941,1386,"Lady Eve, The"
476,3,0033533,1941,1682,"Devil and Miss Jones, The"
477,1,0033727,1941,1941,Mr. Bug Goes to Town
