,title,year,rating,dubious,imdbid,id,submitterid,date,visible,description,status,version
427,Sweet Girl,2021,3,0,10731768,10033,19511,2021-09-04 07:20:28,1,,,
428,Old,2021,3,0,10954652,9983,19405,2021-07-26 07:55:53,1,,,
429,"Hitman&#39;s Wife&#39;s Bodyguard, The",2021,0,0,8385148,9984,19406,2021-07-26 09:01:45,1,,,
430,Jungle Cruise,2021,3,1,0870154,9996,19422,2021-08-04 08:47:20,1,,,
431,Gunpowder Milkshake,2021,3,0,8368408,9997,19425,2021-08-05 21:42:12,1,,,
432,Pig,2021,0,0,11003218,9998,19426,2021-08-06 00:00:19,1,,,
433,Secret Agent Dingledorf and His Trusty Dog Splat,2021,1,0,10355058,9999,19427,2021-08-06 00:03:05,1,,,
434,Those Who Wish Me Dead,2021,1,0,3215824,10002,19433,2021-08-08 02:27:42,1,,,
435,"Suicide Squad, The",2021,3,0,6334354,10004,19435,2021-08-08 22:16:55,1,,,
436,Fear Street: Part Three - 1666,2021,3,0,9701942,10006,19437,2021-08-09 12:06:09,1,,,
437,Titane,2021,2,0,10944760,10008,19467,2021-08-10 14:04:14,1,,,
438,"Marksman, The",2021,2,0,6902332,10009,19470,2021-08-13 16:26:34,1,,,
439,Free Guy,2021,1,0,6264654,10012,19476,2021-08-16 08:23:54,1,,,
440,Drive My Car,2021,3,0,14039582,10014,19480,2021-08-22 21:33:19,1,,,
441,"Green Knight, The",2021,1,0,9243804,10015,19481,2021-08-23 06:11:42,1,,,
442,Good on Paper,2021,3,0,8231668,10017,19484,2021-08-23 16:29:30,1,,,
443,Reminiscence,2021,2,0,3272066,10018,19486,2021-08-24 08:57:44,1,,,
444,Madame Claude,2021,3,0,10307724,10019,19488,2021-08-24 14:33:51,1,,,
445,Army of the Dead,2021,3,0,0993840,10113,19671,2021-10-31 02:14:58,1,,,
446,"Influencer, The",2021,3,0,10868922,10023,19492,2021-08-27 05:25:44,1,,,
447,No Sudden Move,2021,3,0,11525644,10026,19497,2021-08-29 21:38:14,1,,,
448,"Little Things, The",2021,3,0,10016180,10027,19498,2021-08-30 01:29:17,1,,,
449,"La Luna, Tomasico y mi abuela",2021,0,0,14156262,10051,19544,2021-09-16 00:11:25,1,,,
450,Dune,2021,3,0,1160419,10052,19545,2021-09-16 08:04:46,1,,,
451,#Nofilter,2021,0,0,14843560,10065,19562,2021-09-20 02:39:47,1,,,
452,CODA,2021,3,0,10366460,10076,19587,2021-10-04 21:49:55,1,,,
453,No Time To Die,2021,2,1,2382320,10075,19585,2021-10-04 08:29:46,1,,,
454,"Many Saints of Newark, The",2021,2,0,8110232,10074,19583,2021-10-03 22:25:04,1,,,
455,"Guilty, The",2021,1,0,9421570,10079,19599,2021-10-10 20:16:13,1,,,
456,Spider-Man: No Way Home,2021,3,1,10872600,10166,19768,2021-12-21 02:14:30,1,,,
457,Till Death,2021,0,0,11804152,10083,19613,2021-10-18 19:58:48,1,,,
458,"Last Duel, The",2021,3,1,4244994,10085,19619,2021-10-20 02:30:29,1,,,
459,"Harder They Fall, The",2021,3,0,10696784,10123,19687,2021-11-09 21:46:49,1,,,
460,Passing,2021,3,0,8893974,10121,19684,2021-11-08 09:11:26,1,,,
461,Venom Let there be Carnage,2021,2,0,7097896,10092,19627,2021-10-21 10:11:03,1,,,
462,Night Teeth,2021,2,0,10763820,10114,19672,2021-10-31 20:47:12,1,,,
463,Borga,2021,3,0,5492808,10120,19682,2021-11-06 01:00:23,1,,,
464,Eternals,2021,3,0,9032400,10118,19679,2021-11-05 11:18:45,1,,,
465,Respect,2021,3,0,2452150,10106,19654,2021-10-24 21:14:06,1,,,
466,Last Night in Soho,2021,3,0,9639470,10116,19674,2021-11-03 01:22:47,1,,,
467,"French Dispatch, The",2021,3,0,8847712,10115,19673,2021-11-03 01:15:13,1,,,
468,"Lost Daughter, The",2021,3,0,9100054,10129,19698,2021-11-16 08:41:37,1,,,
469,Eye of the Beholder,2021,3,0,15526040,10132,19704,2021-11-19 22:41:23,1,,,
470,Red Notice,2021,1,0,7991608,10164,19765,2021-12-20 14:10:11,1,,,
471,Petite Maman,2021,3,0,13204490,10144,19724,2021-11-29 14:38:11,1,,,
472,"Beatles: Get Back, The",2021,3,1,9735318,10145,19725,2021-11-30 15:06:30,1,,,
473,There&#39;s Someone Inside Your House,2021,3,0,8150814,10147,19727,2021-11-30 16:18:27,1,,,
474,"Retreat, The",2021,3,0,11392272,10149,19729,2021-11-30 16:28:00,1,,,
475,Encanto,2021,3,0,2953050,10151,19732,2021-12-02 00:36:48,1,,,
476,Love Hard,2021,2,0,10752004,10152,19735,2021-12-05 19:22:20,1,,,
477,,,,,,,,,,Could not find movie,404,v1
478,West Side Story,2021,3,0,3581652,10157,19743,2021-12-10 03:10:09,1,,,
479,Every Time a Bell Rings,2021,3,0,15943414,10158,19744,2021-12-10 08:03:02,1,,,
480,Single All The Way,2021,3,0,14315756,10161,19753,2021-12-15 10:10:36,1,,,
481,"Matrix Resurrections, The",2021,3,0,10838180,10167,19776,2021-12-25 05:10:39,1,,,
482,Don&#146;t Look Up,2021,3,0,11286314,10168,19786,2021-12-28 04:33:27,1,,,
483,Kate,2021,2,1,7737528,10172,19794,2021-12-30 16:43:37,1,,,
484,A Classic Horror Story,2021,3,1,12877640,10177,19802,2022-01-03 22:38:08,1,,,
485,"Tender Bar, The",2021,1,0,3108894,10184,19817,2022-01-08 01:36:03,1,,,
486,Licorice Pizza,2021,3,0,11271038,10185,19818,2022-01-08 09:30:00,1,,,
487,Nightmare Alley,2021,1,0,7740496,10186,19820,2022-01-08 09:37:22,1,,,
488,13 Minutes,2021,3,0,9274670,10196,19841,2022-01-14 19:45:08,1,,,
489,tick...tick..BOOM!,2021,3,1,8721424,10190,19830,2022-01-10 22:18:51,1,,,
490,The Worst Person in the World,2021,3,1,10370710,10193,19835,2022-01-11 12:11:54,1,,,
491,Being The Ricardos,2021,3,0,4995540,10199,19846,2022-01-16 09:14:48,1,,,
492,Boiling Point,2021,3,0,11127680,10200,19848,2022-01-17 11:34:50,1,,,
493,"Power of the Dog, The",2021,0,0,10293406,10202,19851,2022-01-18 16:26:28,1,,,
494,Mass,2021,3,0,11389748,10206,19858,2022-01-23 09:17:33,1,,,
