titles,summary,genre,year
A Nightmare on Elm Street,The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.,Horror,1984
The Natural,An unknown comes seemingly out of nowhere to become a legendary baseball player with almost divine talent.,"Drama, Sport",1984
Trading Places,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.,Comedy,1983
The Last Unicorn,"A brave unicorn (Mia Farrow) and a magician (Alan Arkin) fight an evil King (Sir Christopher Lee), who is obsessed with attempting to capture the world's unicorns.","Animation, Adventure, Drama",1982
The Evil Dead,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",Horror,1981
An American Werewolf in London,Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.,"Comedy, Horror",1981
Coal Miner's Daughter,"Biographical story of the legendary country singer's rise from humble, poverty-stricken beginnings in Kentucky to worldwide superstardom and how she changed the sound and style of country music forever.","Biography, Drama, Music",1980
National Lampoon's Animal House,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",Comedy,1978
The Omen,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?,Horror,1976
Marathon Man,"A graduate history student is unwittingly caught in the middle of an international conspiracy involving stolen diamonds, an exiled Nazi war criminal, and a rogue government agent.","Crime, Thriller",1976
The Texas Chain Saw Massacre,Two siblings and three of their friends en route to visit their grandfather's grave in Texas end up falling victim to a family of cannibalistic psychopaths and must survive the terrors of Leatherface and his family.,Horror,1974
Bring Me the Head of Alfredo Garcia,An American bar room pianist and his prostitute girlfriend go on a trip through the Mexican underworld to collect a bounty on the head of a dead gigolo.,"Action, Crime, Drama",1974
The Last Detail,"Two Navy men are ordered to bring a young offender to prison, but decide to show him one last good time along the way.","Comedy, Drama",1973
Charley Varrick,"A man, his wife, and their friend, stage a bloody bank robbery, unaware they are stealing money from the Mob.","Action, Crime, Drama",1973
High Plains Drifter,A gunfighting stranger (Clint Eastwood) comes to the small settlement of Lago and is hired to bring the townsfolk together in an attempt to hold off three outlaws who are on their way.,"Drama, Mystery, Western",1973
Straw Dogs,A young American and his English wife come to rural England and face increasingly vicious local harassment.,"Crime, Drama, Thriller",1971
Tora! Tora! Tora!,"In 1941, following months of economic embargo, Japan prepares to open its war against the United States with a preventive attack on the US naval base at Pearl Harbor.","Action, Drama, History",1970
MASH,The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,"Comedy, Drama, War",1970
Five Easy Pieces,"A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",Drama,1970
The Flight of the Phoenix,"After a plane crash in the Sahara, one of the survivors says he's an airplane designer and they can make a flyable plane from the wreckage.","Adventure, Drama",1965
A Shot in the Dark,Inspector Jacques Clouseau investigates the murder of Mr. Benjamin Ballon's driver at a country estate.,"Comedy, Mystery",1964
It's a Mad Mad Mad Mad World,"A group of motorists hear about a crook's hidden stash of loot, and race against each other across the country to get to it.","Action, Adventure, Comedy",1963
Ride the High Country,An ex-union soldier is hired to transport gold from a mining community through dangerous territory. But what he doesn't realize is that his partner and old friend is plotting to double-cross him.,"Drama, Western",1962
West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","Crime, Drama, Musical",1961
El Camino: A Breaking Bad Movie,"El Camino: A Breaking Bad Movie follows fugitive Jesse Pinkman as he runs from his captors, the law and his past.","Action, Crime, Drama",2019
A Dog's Journey,A dog finds the meaning of his own existence through the lives of the humans he meets.,"Adventure, Comedy, Drama",2019
Blindspotting,"While on probation, a man begins to re-evaluate his relationship with his volatile best friend.","Comedy, Crime, Drama",2018
Eighth Grade,An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,"Comedy, Drama",2018
Downton Abbey,"The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century.","Drama, Romance",2019
The Rider,"After suffering a near fatal head injury, a young cowboy undertakes a search for new identity and what it means to be a man in the heartland of America.","Drama, Western",2017
A Hidden Life,"The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II.","Biography, Drama, Romance",2019
Mid90s,"Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.","Comedy, Drama",2018
Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.","Drama, Fantasy, Horror",2019
The Hate U Give,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.","Crime, Drama",2018
Paterson,"A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.","Comedy, Drama, Romance",2016
Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",Drama,2016
Lady Bird,"In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.","Comedy, Drama",2017
Good Time,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.","Crime, Drama, Thriller",2017
Patriots Day,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.","Action, Crime, Drama",2016
Darkest Hour,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire.","Biography, Drama, Family",2017
Queen of Katwe,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,"Biography, Drama, Sport",2016
Molly's Game,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.","Biography, Crime, Drama",2017
The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","Action, Comedy, Crime",2016
The Disaster Artist,"When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.","Biography, Comedy, Drama",2017
War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.","Action, Adventure, Drama",2017
Sully,"The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.","Biography, Drama",2016
The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","Adventure, Drama, Family",2016
John Wick,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,"Action, Crime, Thriller",2014
I Origins,A molecular biologist and his laboratory partner uncover evidence that may fundamentally change society as we know it.,"Drama, Romance, Sci-Fi",2014
Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,"Drama, Romance",2016
The Good Lie,"A group of Sudanese refugees, given the chance to resettle in the U.S., arrive in Kansas City, Missouri, where their encounter with an employment agency counselor forever changes all of their lives.","Biography, Drama",2014
Mudbound,"Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.","Drama, War",2017
Mission: Impossible - Rogue Nation,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Action, Adventure, Thriller",2015
The Hobbit: The Battle of the Five Armies,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,"Adventure, Fantasy",2014
Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Animation, Adventure, Comedy",2013
Spider-Man: Homecoming,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Action, Adventure, Sci-Fi",2017
"McFarland, USA",Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.,"Biography, Drama, Sport",2015
No,An advertising executive comes up with a campaign to defeat Augusto Pinochet in Chile's 1988 referendum.,Drama,2012
Begin Again,"A chance encounter between a disgraced music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.","Comedy, Drama, Music",2013
Mud,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,Drama,2012
What Maisie Knew,"In New York City, a young girl is caught in the middle of her parents' bitter custody battle.",Drama,2012
The Judge,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family.","Crime, Drama",2014
Little Boy,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,"Drama, History, War",2015
Southpaw,"A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.","Drama, Sport",2015
Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","Drama, History, Thriller",2012
The Way Way Back,"Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.","Comedy, Drama",2013
Take Shelter,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.","Drama, Horror, Thriller",2011
"Crazy, Stupid, Love.","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","Comedy, Drama, Romance",2011
The Next Three Days,A married couple's life is turned upside down when the wife is accused of a murder.,"Action, Crime, Drama",2010
The Way,"A father heads overseas to recover the body of his estranged son who died while traveling the ""El camino de Santiago,"" and decides to take the pilgrimage himself.","Comedy, Drama",2010
Cloud Atlas,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.","Action, Drama, Mystery",2012
The Guernsey Literary and Potato Peel Pie Society,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.","Drama, Romance, War",2018
Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.","Action, Adventure, Crime",2012
Mission: Impossible - Ghost Protocol,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Action, Adventure, Thriller",2011
Limitless,"With the help of a mysterious pill that enables the user to access 100% of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.","Sci-Fi, Thriller",2011
Law Abiding Citizen,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,"Action, Crime, Drama",2009
Up in the Air,"Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire.","Comedy, Drama, Romance",2009
Black Dynamite,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.","Action, Comedy",2009
City Island,"Prison guard Vince tells Molly from acting class, that one inmate is his 24 y.o. love child. Vince takes him home to stay with his family - straight A son with fat girl fetish, college dropout/stripper daughter and cute wife.","Comedy, Drama",2009
Blue Valentine,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","Drama, Romance",2010
Felon,A family man convicted of killing an intruder must cope with life afterward in the violent penal system.,"Crime, Drama",2008
Eddie the Eagle,"The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics.","Biography, Comedy, Drama",2015
My Sister's Keeper,Anna Fitzgerald looks to earn medical emancipation from her parents who until now have relied on their youngest child to help their leukemia-stricken daughter Kate remain alive.,"Drama, Family",2009
Love & Mercy,"In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he is a broken, confused man under the 24-hour watch of shady therapist Dr. Eugene Landy.","Biography, Drama, Music",2014
Ten Inch Hero,"An artist gets a job at a beachside sandwich shop, where she hangs out with a techie, a flirt, a rocker, a hippie, and a Wiccan.","Comedy, Drama, Romance",2007
The Bucket List,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,"Comedy, Drama",2007
Red Dog,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.,"Biography, Comedy, Drama",2011
Death at a Funeral,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,Comedy,2007
Reign Over Me,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,Drama,2007
Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.","Comedy, Drama",2007
Amazing Grace,"The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.","Biography, Drama, History",2006
Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","Action, Adventure, Fantasy",2017
Babel,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",Drama,2006
Keith,"Natalie, head of her curriculum activities in high school and riding on a tennis scholarship for college, gets Keith as her Chemistry lab partner. As Natalie can be uptight, Keith proves to be the opposite, even while hiding a secret.","Drama, Romance",2008
"Good Night, and Good Luck.",Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.,"Biography, Drama, History",2005
The Three Burials of Melquiades Estrada,Ranch foreman Pete Perkins looks to fulfill the promise to his recently deceased best friend by burying him in his hometown in Mexico.,"Adventure, Crime, Drama",2005
Transamerica,"A preoperative transgender woman takes an unexpected journey when she learns that she fathered a son, now a teenage runaway hustling on the streets of New York.","Adventure, Comedy, Drama",2005
Running Scared,"A low-ranking thug is entrusted by his crime boss to dispose of a gun that killed corrupt cops, but things get out of control when the gun ends up in wrong hands.","Action, Crime, Drama",2006
Everything Is Illuminated,"A young Jewish American man endeavors to find the woman who saved his grandfather during World War II in a Ukrainian village, that was ultimately razed by the Nazis, with the help of an eccentric local.","Comedy, Drama",2005
A History of Violence,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core in this action thriller.","Drama, Thriller",2005
Trade,"Adriana, 13, is kidnapped in Mexico City by Russian sex traffickers. Her criminal 17 y.o. brother starts looking for her. Across the border in Texas, he gets help from a cop.","Crime, Drama, Thriller",2007
Memoirs of a Geisha,Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha.,"Drama, Romance",2005
Maria Full of Grace,A pregnant Colombian teenager becomes a drug mule to make some desperately needed money for her family.,"Crime, Drama",2004
The Greatest Game Ever Played,"In the 1913 US Open, 20-year-old Francis Ouimet played golf against his idol, 1900 US Open champion, Englishman Harry Vardon.","Biography, Drama, Sport",2005
The Constant Gardener,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.","Drama, Mystery, Romance",2005
The Terminal,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","Comedy, Drama, Romance",2004
Garden State,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"Comedy, Drama, Romance",2004
Open Range,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,"Action, Drama, Romance",2003
Wallace & Gromit: The Curse of the Were-Rabbit,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest.","Animation, Adventure, Comedy",2005
Master and Commander: The Far Side of the World,"During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.","Action, Adventure, Drama",2003
American Splendor,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,"Biography, Comedy, Drama",2003
Harry Potter and the Chamber of Secrets,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,"Adventure, Family, Fantasy",2002
X2: X-Men United,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","Action, Sci-Fi, Thriller",2003
A Walk to Remember,"The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.","Drama, Romance",2002
K-PAX,"PROT is a patient at a mental hospital who claims to be from a far away planet named K PAX. His psychiatrist tries to help him, only to begin to doubt his own explanations.","Drama, Mystery, Sci-Fi",2001
In the Bedroom,A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.,"Crime, Drama",2001
Equilibrium,"In an oppressive future where all forms of feeling are illegal, a man in charge of enforcing the law rises to overthrow the system and state.","Action, Drama, Sci-Fi",2002
Best in Show,A colorful array of characters compete at a national dog show.,Comedy,2000
Pi,A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,"Drama, Horror, Mystery",1998
The Talented Mr. Ripley,"In late 1950s New York, Tom Ripley, a young underachiever, is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.","Crime, Drama, Thriller",1999
Man on the Moon,The life and career of legendary comedian Andy Kaufman.,"Biography, Comedy, Drama",1999
The Cider House Rules,"A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.","Drama, Romance",1999
X-Men,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Action, Adventure, Sci-Fi",2000
Gods and Monsters,The last days of Frankenstein (1931) Director James Whale are explored.,"Biography, Drama",1998
Frida,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.","Biography, Drama, Romance",2002
Eyes Wide Shut,"A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.","Drama, Mystery, Thriller",1999
The Ice Storm,"In suburban New Canaan, Connecticut, 1973, middle class families experimenting with casual sex and substance abuse find their lives beyond their control.",Drama,1997
Deconstructing Harry,"Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.",Comedy,1997
Contact,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","Drama, Mystery, Sci-Fi",1997
The Rock,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.","Action, Adventure, Thriller",1996
Lone Star,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.","Drama, Mystery",1996
The English Patient,"At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.","Drama, Romance, War",1996
Welcome to the Dollhouse,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey.","Comedy, Drama",1995
Smoke,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.","Comedy, Drama",1995
Richard III,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,"Drama, Sci-Fi, War",1995
Nobody's Fool,A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.,"Comedy, Drama",1994
Immortal Beloved,"The life and death of the legendary Ludwig van Beethoven. Besides all the work he is known for, the composer once wrote a famous love letter to a nameless beloved, and the movie tries to ... See full summary »","Biography, Drama, Music",1994
Dolores Claiborne,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,"Crime, Drama, Mystery",1995
Bullets Over Broadway,"In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.","Comedy, Crime",1994
Searching for Bobby Fischer,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,"Biography, Drama",1993
Manhattan Murder Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,"Comedy, Mystery",1993
Howards End,A businessman thwarts his wife's bequest of an estate to another woman.,"Drama, Romance",1992
Dracula,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,Horror,1992
The Man in the Moon,A coming of age story set in the south of the U.S. when Elvis was King.,"Drama, Romance",1991
Back to the Future Part III,"Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.","Adventure, Comedy, Sci-Fi",1990
Lean on Me,The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school and he is determined to improve by any and all means.,Drama,1989
Driving Miss Daisy,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,Drama,1989
The Land Before Time,An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.,"Animation, Adventure, Drama",1988
Dirty Rotten Scoundrels,Two con men try to settle their rivalry by betting on who can swindle a young American heiress out of fifty thousand dollars first.,"Comedy, Crime",1988
Wall Street,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.","Crime, Drama",1987
Salvador,An American photojournalist gets caught in a political struggle at El Salvador in 1980.,"Drama, History, Thriller",1986
Labyrinth,Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,"Adventure, Family, Fantasy",1986
Witness,"When a young Amish boy is sole witness to a murder, policeman John Book goes into hiding in Amish country to protect him until the trial.","Crime, Drama, Romance",1985
Kiss of the Spider Woman,A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,Drama,1985
Broadway Danny Rose,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",Comedy,1984
Terms of Endearment,"Follows hard-to-please Aurora looking for love, and her daughter's family problems.","Comedy, Drama",1983
National Lampoon's Vacation,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,"Adventure, Comedy",1983
Tootsie,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","Comedy, Drama, Romance",1982
Thief,"Coming closer to his dream of leading a normal life, a professional safecracker agrees to do a job for the Mafia, who has other plans for him.","Action, Crime, Drama",1981
Excalibur,"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart.","Adventure, Drama, Fantasy",1981
Body Heat,"In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband.","Crime, Drama, Romance",1981
Blow Out,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,"Mystery, Thriller",1981
The China Syndrome,A reporter finds what appears to be a cover-up of safety hazards at a nuclear power plant.,"Drama, Thriller",1979
And Justice for All,"A lawyer is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent.","Crime, Drama, Thriller",1979
Invasion of the Body Snatchers,"When seeds drift to earth from space, mysterious pods begin to grow and invade a small town, replicating the residents one body at a time.","Horror, Sci-Fi",1978
Interiors,"Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce.",Drama,1978
The Goodbye Girl,"After being dumped by her live-in boyfriend, an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.","Comedy, Drama, Romance",1977
A Bridge Too Far,"Operation Market Garden, September 1944: The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines.","Drama, History, War",1977
Murder by Death,Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.,"Comedy, Crime, Mystery",1976
The Killing of a Chinese Bookie,"A proud strip club owner is forced to come to terms with himself as a man, when his gambling addiction gets him in hot water with the mob, who offer him only one alternative.","Crime, Drama, Thriller",1976
Eraserhead,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",Horror,1977
Carrie,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",Horror,1976
Assault on Precinct 13,"An unlikely partnership between a Highway Patrol Officer, two criminals and a station secretary is formed to defend a defunct Los Angeles precinct office against a siege by a bloodthirsty street gang.","Action, Crime, Thriller",1976
Three Days of the Condor,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.","Mystery, Thriller",1975
The Rocky Horror Picture Show,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,"Comedy, Musical",1975
Phantom of the Paradise,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.","Comedy, Drama, Fantasy",1974
Jesus Christ Superstar,"Film version of the musical stage play, presenting the last few weeks of Christ's life told in an anachronistic manner.","Drama, History, Musical",1973
American Graffiti,A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,"Comedy, Drama",1973
The Getaway,A recently released ex-con and his loyal wife go on the run after a heist goes awry.,"Action, Crime, Thriller",1972
The Cowboys,Rancher Wil Andersen is forced to hire inexperienced boys as cowhands in order to get his herd to market on time but the rough drive is full of dangers and a gang of cattle rustlers is trailing them.,"Adventure, Drama, Western",1972
Macbeth,A ruthlessly ambitious Scottish lord seizes the throne with the help of his scheming wife and a trio of witches.,"Biography, Drama, History",1971
True Grit,"A drunken, hard-nosed U.S. Marshal and a Texas Ranger help a stubborn teenager track down her father's murderer in Indian Territory.","Adventure, Drama, Western",1969
Yellow Submarine,The Beatles agree to accompany Captain Fred in his yellow submarine and go to Pepperland to free it from the music-hating Blue Meanies.,"Animation, Adventure, Comedy",1968
Funny Girl,"The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein.","Biography, Comedy, Drama",1968
Bullitt,"An all guts, no glory San Francisco cop becomes determined to find the underworld kingpin that killed the witness in his protection.","Action, Crime, Thriller",1968
Hombre,"John Russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by Native Americans, becomes their only hope for survival when they are set upon by outlaws.",Western,1967
Shock Corridor,"Bent on winning a Pulitzer Prize, a journalist commits himself to a mental institution to solve a strange and unclear murder.","Drama, Mystery",1963
Irma la Douce,"In Paris, a former policeman falls in love with a prostitute, and tries to get her out of that life by paying for all of her time.","Comedy, Romance",1963
Dolemite Is My Name,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.","Biography, Comedy, Drama",2019
Honey Boy,A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.,Drama,2019
Hereditary,A grieving family is haunted by tragic and disturbing occurrences.,"Drama, Horror, Mystery",2018
Instant Family,A couple find themselves in over their heads when they foster three children.,"Comedy, Drama",2018
